peer	tiny	gen	assembled	blob	file	sse
proactr-mat	370304.9591	366294.7034	14204.0588	6045.1816	4871.3410	346733.5765
proactr-opt	347343.2537	368912.6187	18444.9811	7936.2765	8359.4746	338771.7583
laytan	319642.9587	318491.0340	7549.9745	2866.0051	2362.8378	259190.3596
ntex	347121.8036	345236.0296	10726.2349	4824.8050	5799.7402	349872.0403
drogon	288236.0271	291240.3330	2842.5304	1448.0873	838.6249	291242.9808
