peer	plaintext	s4k	s64k	s1m
proactr	358414.3377	348840.1013	146618.0733	5028.4305
laytan	326394.1912	263845.2647	118780.3874	2762.1535
ntex	357641.6613	312519.7925	133664.2532	4761.9704
drogon	297569.2911	151926.4288	22660.4261	1302.8190
