peer	plaintext	s4k	s64k	s1m
proactr	364232.0108	344197.7399	146545.4506	4234.3064
laytan	331189.5847	259538.8241	112271.2317	2863.3359
ntex	361560.6405	319241.8951	134980.6652	5495.9439
drogon	291088.9955	146017.0182	23614.2345	1260.0977
