peer	tiny	assembled	blob	file	sse
proactr-mat	358068.5490	13808.0846	6320.6465	4791.7192	349009.9047
proactr-opt	364371.2989	15771.5951	5837.3555	12992.0841	338232.0372
ntex	347897.6317	13824.4612	6435.0703	6147.7583	347322.4419
drogon	285688.8246	2900.3012	1465.8361	807.4341	290932.9904
