peer	plaintext	s4k	s64k	s1m
proactr	358193.0870	351358.9740	134590.5293	6822.7755
laytan	335059.4697	266139.0372	112016.5679	2579.9896
ntex	349640.3618	326268.2903	130348.4721	4847.0199
drogon	287917.7769	140812.8072	23998.4915	1356.1096
