peer	tiny	assembled	blob	file	sse
proactr-mat	361699.6600	12317.3923	5713.4415	4814.1122	347339.2164
proactr-opt	375860.2299	15569.1895	6480.0856	5721.8759	353638.9988
proactr-opt-fallback	362894.1614	15668.9480	5518.4984	5686.2135	341060.4518
proactr-opt-sendfile	363361.3406	13893.3730	5974.0113	14309.7551	355879.2571
ntex	365134.4409	12188.9357	6533.7415	6400.5110	351026.3762
