peer	plaintext	s4k	s64k	s1m	s4m	fortunes
proactr	352088.5833	347887.1208	152773.7231	4220.4645	1341.1251	83974.5624
laytan	321398.6034	259554.8106	116144.6784	2615.6178	602.4319	n/a
ntex	354236.8366	319078.1678	138047.8849	6087.9787	1662.1410	12034.0730
drogon	278284.5178	147992.2697	22983.2517	1454.8817	329.8867	7812.6210
go	231598.1746	194346.0783	125224.4517	5513.0722	1788.2806	8430.6698
