peer	tiny	assembled	blob	file	sse
proactr-mat	379205.0110	10637.4708	4318.4067	3286.5003	355453.0654
proactr-opt	355248.2510	9684.2128	4293.4599	6518.8813	345785.1728
proactr-opt-fallback	376856.1890	14890.5003	4308.9105	6327.1458	352866.4127
ntex	365174.0337	8459.2837	5242.9329	5218.7868	344555.5271
